,0
1251,ARID5B
1252,ARIH1
1253,ARIH2
1254,ARIH2OS
1255,ARL1
1256,ARL10
1257,ARL13B
1258,ARL14EP
1259,ARL15
1260,ARL16
1261,ARL17A
1262,ARL17B
1263,ARL2
1264,ARL2BP
1265,ARL3
1266,ARL4A
1267,ARL4C
1268,ARL4D
1269,ARL5A
1270,ARL5B
1271,ARL6
1272,ARL6IP1
1273,ARL6IP4
1274,ARL6IP5
1275,ARL6IP6
1276,ARL8A
1277,ARL8B
1278,ARMC1
1279,ARMC10
1280,ARMC2
1281,ARMC5
1282,ARMC6
1283,ARMC7
1284,ARMC8
1285,ARMC9
1286,ARMCX2
1287,ARMCX3
1288,ARMCX4
1289,ARMCX5-GPRASP2
1290,ARMCX6
1291,ARMH1
1292,ARMH3
1293,ARMH4
1294,ARMT1
1295,ARNT
1296,ARNTL
1297,ARPC1A
1298,ARPC1B
1299,ARPC2
1300,ARPC3
1301,ARPC4
1302,ARPC5
1303,ARPC5L
1304,ARPP19
1305,ARRB1
1306,ARRB2
1307,ARRDC1
1308,ARRDC1-AS1
1309,ARRDC2
1310,ARRDC3
1311,ARRDC3-AS1
1312,ARSA
1313,ARSB
1314,ARSG
1315,ARSK
1316,ARV1
1317,ASAH1
1318,ASAP1
1319,ASB1
1320,ASB16-AS1
1321,ASB2
1322,ASB3
1323,ASB6
1324,ASB7
1325,ASB8
1326,ASCC1
1327,ASCC2
1328,ASCC3
1329,ASF1A
1330,ASF1B
1331,ASH1L
1332,ASH1L-AS1
1333,ASH2L
1334,ASIP
1335,ASL
1336,ASMTL
1337,ASNS
1338,ASNSD1
1339,ASPH
1340,ASPSCR1
1341,ASTE1
1342,ASTL
1343,ASTN2
1344,ASXL1
1345,ASXL2
1346,ATAD1
1347,ATAD2
1348,ATAD2B
1349,ATAD3A
1350,ATAD3B
1351,ATAD5
1352,ATAT1
1353,ATE1
1354,ATF1
1355,ATF2
1356,ATF3
1357,ATF4
1358,ATF5
1359,ATF6
1360,ATF6B
1361,ATF7
1362,ATF7IP
1363,ATF7IP2
1364,ATG10
1365,ATG101
1366,ATG12
1367,ATG13
1368,ATG14
1369,ATG16L1
1370,ATG16L2
1371,ATG2A
1372,ATG2B
1373,ATG3
1374,ATG4A
1375,ATG4B
1376,ATG4C
1377,ATG4D
1378,ATG5
1379,ATG7
1380,ATG9A
1381,ATIC
1382,ATL2
1383,ATL3
1384,ATM
1385,ATMIN
1386,ATN1
1387,ATOX1
1388,ATP10A
1389,ATP10D
1390,ATP11A
1391,ATP11B
1392,ATP11C
1393,ATP13A1
1394,ATP13A2
1395,ATP13A3
1396,ATP13A4
1397,ATP1A1
1398,ATP1A1-AS1
1399,ATP1A3
1400,ATP1B1
1401,ATP1B2
1402,ATP1B3
1403,ATP23
1404,ATP2A2
1405,ATP2A3
1406,ATP2B1
1407,ATP2B1-AS1
1408,ATP2B4
1409,ATP2C1
1410,ATP5F1A
1411,ATP5F1B
1412,ATP5F1C
1413,ATP5F1D
1414,ATP5F1E
1415,ATP5IF1
1416,ATP5MC1
1417,ATP5MC2
1418,ATP5MC3
1419,ATP5MD
1420,ATP5ME
1421,ATP5MF
1422,ATP5MG
1423,ATP5MPL
1424,ATP5PB
1425,ATP5PD
1426,ATP5PF
1427,ATP5PO
1428,ATP6AP1
1429,ATP6AP2
1430,ATP6V0A2
1431,ATP6V0B
1432,ATP6V0C
1433,ATP6V0D1
1434,ATP6V0E1
1435,ATP6V0E2
1436,ATP6V1A
1437,ATP6V1B2
1438,ATP6V1C1
1439,ATP6V1D
1440,ATP6V1E1
1441,ATP6V1E2
1442,ATP6V1F
1443,ATP6V1G1
1444,ATP6V1G2
1445,ATP6V1H
1446,ATP7A
1447,ATP8A1
1448,ATP8A2
1449,ATP8B1
1450,ATP8B2
1451,ATP8B4
1452,ATP9B
1453,ATPAF1
1454,ATPAF2
1455,ATPSCKMT
1456,ATR
1457,ATRAID
1458,ATRIP
1459,ATRN
1460,ATRX
1461,ATXN1
1462,ATXN10
1463,ATXN1L
1464,ATXN2
1465,ATXN2L
1466,ATXN3
1467,ATXN7
1468,ATXN7L1
1469,ATXN7L2
1470,ATXN7L3
1471,ATXN7L3B
1472,AUH
1473,AUP1
1474,AURKA
1475,AURKAIP1
1476,AUTS2
1477,AVEN
1478,AVL9
1479,AVPI1
1480,AXIN1
1481,AZI2
1482,AZIN1
1483,AZIN1-AS1
1484,AZIN2
1485,B2M
1486,B3GALNT2
1487,B3GALT2
1488,B3GALT4
1489,B3GALT6
1490,B3GAT3
1491,B3GLCT
1492,B3GNT2
1493,B3GNT5
1494,B3GNTL1
1495,B4GALT1
1496,B4GALT3
1497,B4GALT4
1498,B4GALT4-AS1
1499,B4GALT5
1500,B4GALT7
1501,B4GAT1
1502,B9D2
1503,BABAM1
1504,BABAM2
1505,BACH1
1506,BACH2
1507,BAD
1508,BAG1
1509,BAG2
1510,BAG3
1511,BAG4
1512,BAG5
1513,BAG6
1514,BAHD1
1515,BAIAP2
1516,BAIAP3
1517,BAK1
1518,BAMBI
1519,BANF1
1520,BANP
1521,BAP1
1522,BARD1
1523,BATF
1524,BATF3
1525,BAX
1526,BAZ1A
1527,BAZ1B
1528,BAZ2A
1529,BAZ2B
1530,BBC3
1531,BBIP1
1532,BBOF1
1533,BBS1
1534,BBS12
1535,BBS2
1536,BBS4
1537,BBS7
1538,BBS9
1539,BBX
1540,BCAP29
1541,BCAP31
1542,BCAR3
1543,BCAS2
1544,BCAS3
1545,BCAS4
1546,BCAT2
1547,BCCIP
1548,BCDIN3D
1549,BCKDHA
1550,BCKDHB
1551,BCKDK
1552,BCL10
1553,BCL11B
1554,BCL2
1555,BCL2A1
1556,BCL2L1
1557,BCL2L11
1558,BCL2L12
1559,BCL2L13
1560,BCL3
1561,BCL6
