,Gene stable ID,Gene name_mart,Used by 10X,ultimate_gene_name
68405,ENSG00000268521,VN1R83P,,VN1R83P
68406,ENSG00000268322,BNIP3P25,,BNIP3P25
68407,ENSG00000229177,,True,AC008154.1
68408,ENSG00000309532,,,ENSG00000309532
68409,ENSG00000172687,ZNF738,True,ZNF738
68410,ENSG00000289601,,,ENSG00000289601
68411,ENSG00000309746,,,ENSG00000309746
68412,ENSG00000272393,RNU6-92P,,RNU6-92P
68413,ENSG00000307299,,,ENSG00000307299
68414,ENSG00000237821,ST13P7,,ST13P7
68415,ENSG00000272277,,True,AL031963.3
68416,ENSG00000131558,EXOC4,True,EXOC4
68417,ENSG00000307310,,,ENSG00000307310
68418,ENSG00000225437,PACRG-AS2,True,PACRG-AS2
68419,ENSG00000215022,,True,AL008729.1
68420,ENSG00000167637,ZNF283,True,ZNF283
68421,ENSG00000307372,,,ENSG00000307372
68422,ENSG00000014138,POLA2,True,POLA2
68423,ENSG00000307393,,,ENSG00000307393
68424,ENSG00000286805,,True,AL138716.1
68425,ENSG00000234147,,True,AL035446.1
68426,ENSG00000240747,KRBOX1,True,KRBOX1
68427,ENSG00000249102,,True,AC034223.1
68428,ENSG00000139726,DENR,True,DENR
68429,ENSG00000309567,,,ENSG00000309567
68430,ENSG00000309569,,,ENSG00000309569
68431,ENSG00000309585,,,ENSG00000309585
68432,ENSG00000309601,,,ENSG00000309601
68433,ENSG00000309607,,,ENSG00000309607
68434,ENSG00000185860,CCDC190,True,CCDC190
68435,ENSG00000309632,,,ENSG00000309632
68436,ENSG00000176222,ZNF404,True,ZNF404
68437,ENSG00000290317,,,ENSG00000290317
68438,ENSG00000309642,,,ENSG00000309642
68439,ENSG00000309693,,,ENSG00000309693
68440,ENSG00000278917,,,ENSG00000278917
68441,ENSG00000267058,,True,AC006213.2
68442,ENSG00000249494,DMXL1-DT,True,DMXL1-DT
68443,ENSG00000286613,,True,AC006213.7
68444,ENSG00000124459,ZNF45,True,ZNF45
68445,ENSG00000117461,PIK3R3,True,PIK3R3
68446,ENSG00000254333,NDST1-AS1,True,NDST1-AS1
68447,ENSG00000289629,,,ENSG00000289629
68448,ENSG00000309729,,,ENSG00000309729
68449,ENSG00000228624,HDAC2-AS2,True,HDAC2-AS2
68450,ENSG00000066422,ZBTB11,True,ZBTB11
68451,ENSG00000309738,,,ENSG00000309738
68452,ENSG00000033030,ZCCHC8,True,ZCCHC8
68453,ENSG00000309743,,,ENSG00000309743
68454,ENSG00000309750,,,ENSG00000309750
68455,ENSG00000309751,,,ENSG00000309751
68456,ENSG00000250576,,True,AC012629.1
68457,ENSG00000249352,LINC02198,True,LINC02198
68458,ENSG00000159905,ZNF221,True,ZNF221
68459,ENSG00000204920,ZNF155,True,ZNF155
68460,ENSG00000278139,P3R3URF-PIK3R3,,P3R3URF-PIK3R3
68461,ENSG00000226957,,True,AL358075.1
68462,ENSG00000181722,ZBTB20,True,ZBTB20
68463,ENSG00000233114,COX7BP4,,COX7BP4
68464,ENSG00000309762,,,ENSG00000309762
68465,ENSG00000117472,TSPAN1,True,TSPAN1
68466,ENSG00000309769,,,ENSG00000309769
68467,ENSG00000250066,,True,AC093248.1
68468,ENSG00000309809,,,ENSG00000309809
68469,ENSG00000309830,,,ENSG00000309830
68470,ENSG00000111271,ACAD10,True,ACAD10
68471,ENSG00000309850,,,ENSG00000309850
68472,ENSG00000248473,LINC01962,True,LINC01962
68473,ENSG00000251574,,True,AC099520.1
68474,ENSG00000277806,,True,AC006213.4
68475,ENSG00000278492,,True,AC006213.5
68476,ENSG00000160588,MPZL3,True,MPZL3
68477,ENSG00000266921,ZNF230-DT,True,ZNF230-DT
68478,ENSG00000310291,,,ENSG00000310291
68479,ENSG00000307447,,,ENSG00000307447
68480,ENSG00000308961,,,ENSG00000308961
68481,ENSG00000307467,,,ENSG00000307467
68482,ENSG00000301874,,,ENSG00000301874
68483,ENSG00000307482,,,ENSG00000307482
68484,ENSG00000307981,,,ENSG00000307981
68485,ENSG00000307486,,,ENSG00000307486
68486,ENSG00000293690,,,ENSG00000293690
68487,ENSG00000307512,,,ENSG00000307512
68488,ENSG00000159882,ZNF230,True,ZNF230
68489,ENSG00000235399,,True,AL135902.2
68490,ENSG00000306309,,,ENSG00000306309
68491,ENSG00000272209,,True,AL023583.1
68492,ENSG00000300224,,,ENSG00000300224
68493,ENSG00000224658,,True,AL513164.1
68494,ENSG00000301288,,,ENSG00000301288
68495,ENSG00000301300,,,ENSG00000301300
68496,ENSG00000273151,,True,AC073957.3
68497,ENSG00000105963,ADAP1,True,ADAP1
68498,ENSG00000250719,P3R3URF,True,P3R3URF
68499,ENSG00000166796,LDHC,True,LDHC
68500,ENSG00000171357,LURAP1,True,LURAP1
68501,ENSG00000307549,,,ENSG00000307549
68502,ENSG00000284823,,True,AL356747.1
68503,ENSG00000267144,ZNF222-DT,True,ZNF222-DT
68504,ENSG00000085999,RAD54L,True,RAD54L
68505,ENSG00000159885,ZNF222,True,ZNF222
68506,ENSG00000233276,GPX1,,GPX1
68507,ENSG00000250585,LINC00604,True,LINC00604
68508,ENSG00000205209,SCGB2B2,True,SCGB2B2
68509,ENSG00000309906,,,ENSG00000309906
68510,ENSG00000309921,,,ENSG00000309921
68511,ENSG00000250320,EDIL3-DT,True,EDIL3-DT
68512,ENSG00000285694,,True,AL162718.2
68513,ENSG00000270876,ZNF30-AS1,True,ZNF30-AS1
68514,ENSG00000290318,,,ENSG00000290318
68515,ENSG00000307576,,,ENSG00000307576
68516,ENSG00000271032,,True,AC020907.4
68517,ENSG00000271366,,True,AC002128.2
68518,ENSG00000231888,MTND5P15,,MTND5P15
68519,ENSG00000179820,MYADM,True,MYADM
68520,ENSG00000307590,,,ENSG00000307590
68521,ENSG00000201343,Y_RNA,,Y_RNA_ENSG00000201343
68522,ENSG00000200882,RNU6-681P,,RNU6-681P
68523,ENSG00000236893,ASS1P7,,ASS1P7
68524,ENSG00000252028,RN7SKP52,,RN7SKP52
68525,ENSG00000260239,LINC02533,True,LINC02533
68526,ENSG00000177565,TBL1XR1,True,TBL1XR1
68527,ENSG00000309959,,,ENSG00000309959
68528,ENSG00000309984,,,ENSG00000309984
68529,ENSG00000310001,,,ENSG00000310001
68530,ENSG00000310020,,,ENSG00000310020
68531,ENSG00000263955,RN7SL850P,,RN7SL850P
68532,ENSG00000261442,,True,AC023830.1
68533,ENSG00000310021,,,ENSG00000310021
68534,ENSG00000278700,Metazoa_SRP,,Metazoa_SRP_ENSG00000278700
68535,ENSG00000310038,,,ENSG00000310038
68536,ENSG00000276641,MIR6769A,,MIR6769A
68537,ENSG00000310085,,,ENSG00000310085
68538,ENSG00000168101,NUDT16L1,True,NUDT16L1
68539,ENSG00000310125,,,ENSG00000310125
68540,ENSG00000310132,,,ENSG00000310132
68541,ENSG00000248973,,True,AC106799.2
68542,ENSG00000307593,,,ENSG00000307593
68543,ENSG00000168096,ANKS3,True,ANKS3
68544,ENSG00000232871,SEC1P,,SEC1P_ENSG00000232871
68545,ENSG00000141905,NFIC,True,NFIC
68546,ENSG00000226571,,True,AL592429.2
