,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
451,657,PER3,ENSG00000049246,0.0019618935055202907,0.036472689713235466,0.18309448774201112,9,0
2129,3112,PLEKHA4,ENSG00000105559,0.0019594944185680812,0.04640829862540175,0.21552737127848917,9,0
6468,10023,PTP9Q22,ENSG00000158079,0.0019541606307029724,0.2590255348846644,0.5779421232742414,4,0
7033,11016,ABLIM2,ENSG00000163995,0.0019524842500686646,0.23701537072208445,0.5507257736856231,7,0
6830,10639,ZSCAN49,ENSG00000162714,0.0019503012299537659,0.0957650317912066,0.3370372807753461,4,0
7822,12470,CEZANNE2,ENSG00000169918,0.0019497935261045183,0.07590391212549348,0.2954634141082344,7,0
4860,7337,DJ523E19.1,ENSG00000137269,0.0019276610442570277,0.07996662267952963,0.3057312644711311,7,0
8884,14641,ZNF50,ENSG00000182318,0.0019267318504197256,0.14836454473874008,0.4341666219195864,7,0
4895,7383,HSPC145,ENSG00000137547,0.001925070583820343,0.00949875867379008,0.07018091119312672,25,0
198,309,DAP12,ENSG00000011600,0.0019243322312831879,0.1644063335329925,0.45645733595805993,4,0
2562,3755,PATT1,ENSG00000110583,0.001924107697877017,0.02888530473606889,0.1551735349066335,11,0
10618,19222,EE3,ENSG00000269556,0.0019225748255848885,0.06885989834330215,0.27855542587743043,8,0
2984,4402,HPC12,ENSG00000115504,0.0019222210264868205,0.01090764316021667,0.07698499725184503,36,0
10679,19506,HADA2,ENSG00000276234,0.001917894184589386,0.06188686776466648,0.2598277555197866,10,0
7231,11387,HECTD2,ENSG00000165338,0.001910079891482989,0.08288751935783392,0.31233484638947745,12,0
2379,3485,LINK-GEFII,ENSG00000108352,0.001909002661705017,0.3781216151168004,0.6877735990120439,1,0
10271,17791,IFI-30,ENSG00000216490,0.0019062661698886327,0.013637644064999706,0.09115554238586719,21,0
9429,16018,KCASH2,ENSG00000188997,0.0019056465890672472,0.017411262016040218,0.1095530902686683,9,0
4832,7293,IL11RA,ENSG00000137070,0.0018937779324395315,0.07706556957510219,0.298348672990738,7,0
8016,12857,ENC1,ENSG00000171617,0.0018912553787231445,0.3822401147604425,0.6907830051954211,1,0
1286,1847,DHLP1,ENSG00000089876,0.0018894118922097342,0.04613468341220147,0.21477851569394624,7,0
2652,3889,CHPT1,ENSG00000111666,0.001888461410999298,0.011440826444987045,0.07980311189975359,14,0
5662,8620,BTF2 P44,ENSG00000145736,0.0018875077366828918,0.1429734299170028,0.42535190131713974,7,0
1579,2278,L3MBT,ENSG00000100395,0.0018864308794339498,0.11760349629867704,0.38348033686693234,15,0
469,680,NDCBE,ENSG00000050438,0.0018856922785441081,0.1503314712288376,0.43623370931646466,9,0
9815,16762,DRB5,ENSG00000198502,0.0018834806978702545,0.4127939115298478,0.715704727504138,2,0
6326,9777,EFHA2,ENSG00000155970,0.0018824696540832519,0.07400037251923784,0.2912237697675655,10,0
4576,6902,HEL46,ENSG00000135052,0.0018790364265441895,0.2192552380795041,0.5284009568667286,2,0
1968,2863,MSTP156,ENSG00000104177,0.0018776841461658478,0.5369044374810523,0.7995831374738781,8,0
8631,14089,ZNF713,ENSG00000178665,0.0018692351877689362,0.3072539147855704,0.6274099870475666,4,0
1342,1923,DFNB3,ENSG00000091536,0.0018683597445487976,0.38740297081004615,0.6954583451891191,1,0
10329,17982,SCAMP4,ENSG00000227500,0.0018650836804333854,0.020691409293432134,0.12338934902720397,17,0
10617,19209,ZNF587B,ENSG00000269343,0.0018646568059921265,0.016274445698138674,0.10410987087038265,11,0
1229,1769,DOCK3,ENSG00000088538,0.0018434394150972366,0.025467300353976017,0.14097688245482698,12,0
1371,1976,CLSPN,ENSG00000092853,0.0018401620909571648,0.11612259483532525,0.38026959627392226,8,0
