standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
HCFC1,13067,HCFC1,ENSG00000172534,0.0001363856451851,0.3504566481478625,0.7755587184463205,35,0,0.11038531566876464
ANAPC16,11619,CENP-27,ENSG00000166295,0.000136347743226,0.3243682260861587,0.7561059570270405,204,0,0.12141734030865646
STIM1,11864,GOK,ENSG00000167323,0.000136081688106,0.1216071263011776,0.5200208235677619,80,0,0.28397926525077544
GALNT1,7992,GALNAC-T1,ENSG00000141429,0.000135808079331,0.4345383136053703,0.8250874781633839,54,0,0.08350000385055911
HERPUD2,5227,HERPUD2,ENSG00000122557,0.0001357433199882,0.1983043211196521,0.6420876325649404,150,0,0.19240569507420557
LTV1,6998,IPHAK,ENSG00000135521,0.0001357359730679,0.5338128618256155,0.8679254007263139,23,0,0.061517601373280655
ARHGAP25,10772,HEL-S-308,ENSG00000163219,0.0001355228361798,0.4270111269712336,0.8213382691564886,67,0,0.08547794133159402
MED6,6716,ARC33,ENSG00000133997,0.0001355191302853,0.5205367322408543,0.8643342899487598,43,0,0.06331825728786847
TRIM41,8674,TRIM41,ENSG00000146063,0.0001353567838668,0.3970407293533767,0.8054102509395024,25,0,0.09398284716696705
PDCD7,1870,59K,ENSG00000090470,0.0001353174448013,0.2972115942543386,0.7425799313445512,62,0,0.12925679201275928
ARHGEF12,16352,PRO2792,ENSG00000196914,0.0001353156173004,0.7678159845882236,0.9463116231423988,53,0,0.023965825622066915
SLC4A2,11277,BND3L,ENSG00000164889,0.0001352915638371,0.7007798112339287,0.9301151308686766,19,0,0.03146329057911955
GBF1,3433,CMTDIA,ENSG00000107862,0.0001351927639916,0.2394613939227173,0.6891707653318748,64,0,0.16167315363308551
PIGA,11358,PNH1,ENSG00000165195,0.0001350609728923,0.3874892223774977,0.7982008917913946,52,0,0.09788779133542659
VGLL4,8464,VGL-4,ENSG00000144560,0.0001347062902318,0.3991635333689365,0.8070540261176121,36,0,0.09309739159837896
EIF4ENIF1,15122,EIF4ENIF1,ENSG00000184708,0.0001346281041269,0.6395880331820485,0.9110659969047796,23,0,0.04045016193653663
FUT11,16366,FUT11,ENSG00000196968,0.0001343962821093,0.63824140872966,0.909757054260814,11,0,0.04107456820705514
MDM2,7026,ACTFS,ENSG00000135679,0.0001341499257505,0.3132600746334786,0.7506324600174654,57,0,0.12457265907873624
KIAA0513,7031,KIAA0513,ENSG00000135709,0.0001340056287831,0.4729015614462485,0.8396291209562976,29,0,0.07591250714144121
MAPK9,684,JNK-55,ENSG00000050748,0.0001338268904124,0.4381124850183944,0.8265941875169076,34,0,0.082707652935521
DXO,17116,DXO,ENSG00000204348,0.0001333502103697,0.2754246829020335,0.7261134116666152,53,0,0.13899554153916546
DDX6,3737,DDX6,ENSG00000110367,0.0001328727842247,0.1897049710646986,0.633441873555124,137,0,0.19829323106066227
SRP14,7832,SRP14,ENSG00000140319,0.0001324862537402,0.3393933831122878,0.7695000122477299,252,0,0.11379136892006393
C5orf34,12996,C5ORF34,ENSG00000172244,0.0001322209835052,0.703486990801914,0.9303743159928872,5,0,0.03134228729135121
