standard_gene_names,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig,-log10_FDR
SYNJ1,10139,SYNJ1,ENSG00000159082,0.0013234903415044,0.1548774093050691,0.4409949950140883,15,0,0.35556633944394844
TBCA,12835,TBCA,ENSG00000171530,0.0013227039948105,0.0066208857955674,0.052755257429116,120,0,1.2777342534012974
SRBD1,1050,SRBD1,ENSG00000068784,0.0013224688314256,0.3183362165963763,0.636279857290196,21,0,0.19635182500545828
TOP3B,2156,TOP3B1,ENSG00000100038,0.0013216529041528,0.449677976957456,0.7399510533554696,4,0,0.130797007242915
RAMAC,12403,RAMAC,ENSG00000169612,0.0013210701721685,0.1276719776924432,0.3985224897134287,27,0,0.39954716515157584
SELENOS,6418,AD-015,ENSG00000131871,0.0013198836573532,0.0368646814680801,0.1821799140939874,70,0,0.7394995070502192
SLC25A43,1391,SLC25A43,ENSG00000077713,0.0013196399169308,0.1616495432119218,0.4515140736193194,14,0,0.34532870825201845
KLRF1,9147,KLRF1,ENSG00000150045,0.0013189524412155,0.3827779090550763,0.6873881119995352,5,0,0.1627979830187632
CRELD2,15012,CRELD2,ENSG00000184164,0.001318535208702,0.0631598768126964,0.2625695344670676,50,0,0.5807556658337366
ZNF687,8264,PDB6,ENSG00000143373,0.0013178642839193,0.2975864378417776,0.6186372940361885,8,0,0.20856390246100723
MIS12,12001,MIS12,ENSG00000167842,0.0013177859286467,0.1655081915837203,0.4576452465877332,30,0,0.33947104415395735
ATP5MC1,10156,ATP5G,ENSG00000159199,0.0013173477698678,0.042913019209115,0.202536590000182,73,0,0.6934965062780707
MYO6,16269,DFNB37,ENSG00000196586,0.0013171812662711,0.3176178525533755,0.6356913788329428,13,0,0.196753678377108
ITPR1,9215,CLA4,ENSG00000150995,0.001316821974952,0.0544208542318737,0.237196958880397,82,0,0.6248908833934791
ZNF513,10952,HMFT0656,ENSG00000163795,0.0013161144322819,0.2728748378345297,0.5919012838505122,9,0,0.22775071803019342
CACNA1C,9225,CACH2,ENSG00000151067,0.0013158820569515,0.7474117057140912,0.9012021685523304,10,0,0.04517777190917251
ACOT9,5291,CGI-16,ENSG00000123130,0.0013158814981579,0.128238933142203,0.3989862681638152,16,0,0.3990420510884532
HDGFL3,11677,HRP-3,ENSG00000166503,0.0013151675462722,0.3983889898725272,0.7002047747488749,5,0,0.15477493207424434
MAP4K3,307,MEKKK3,ENSG00000011566,0.0013148543735345,0.282507156093096,0.6032243903924072,30,0,0.2195211067956373
NBPF12,19149,COAS1,ENSG00000268043,0.0013146854937076,0.1540084267122901,0.4401591250765718,20,0,0.35639029021955576
TK2,11689,TK2,ENSG00000166548,0.0013145573437213,0.4297150342557302,0.7257243813033614,10,0,0.13922828619551172
RABEPK,7272,RAB9P40,ENSG00000136933,0.0013145112565585,0.2207445954660246,0.5339295639680381,14,0,0.27251603135652935
TECPR2,16291,KIAA0329,ENSG00000196663,0.0013143657283349,0.3685489819041115,0.676216327389405,11,0,0.16991434730950422
COPS3,7947,SGN3,ENSG00000141030,0.0013143188859287,0.0990987093829527,0.3448079152621065,57,0,0.4624227732556779
MRPS2,5187,MRP-S2,ENSG00000122140,0.001313749127663,0.1027178756379561,0.3512151118157318,26,0,0.45442680587246004
SLC35F6,17589,C2ORF18,ENSG00000213699,0.0013136559476455,0.3551662587059272,0.6657025282974636,12,0,0.17671979362133222
GDAP1,2893,GDAP1,ENSG00000104381,0.001313192769885,0.4581656336608679,0.7461981432230165,4,0,0.12714583595587228
ZDHHC17,15597,HYPH,ENSG00000186908,0.0013129586173642,0.2138638475800269,0.5258939021204383,31,0,0.27910186491728733
GGH,7386,GGH,ENSG00000137563,0.00131240238746,0.6229180132041916,0.8436054434425743,6,0,0.07386062659797868
DYNLRB2,12176,DNLC2B,ENSG00000168589,0.001311482489109,0.4181302355926748,0.7169975975449662,5,0,0.14448229952705655
EP400,14871,EP400,ENSG00000183495,0.0013114662991987,0.1498790431976397,0.4330641709850832,37,0,0.3634477455870251
PACS1,13518,PACS1,ENSG00000175115,0.0013108186423778,0.0220121386331974,0.1273191086617229,90,0,0.8951064104582782
TM2D1,10605,TM2D1,ENSG00000162604,0.0013099322334314,0.1207654072007809,0.3842219048238374,39,0,0.4154178792636583
NUP107,3874,NUP107,ENSG00000111581,0.0013093620538711,0.1158775306888033,0.3756986452810028,45,0,0.42516037094152825
PLEKHA5,697,PLEKHA5,ENSG00000052126,0.0013092467561364,0.1090506590408358,0.3639213174410441,40,0,0.4389925039744849
DSTYK,6608,DSTYK,ENSG00000133059,0.0013088875760634,0.2694854748985945,0.5889023696968163,12,0,0.229956698109979
MACC1,14931,SH3BP4L,ENSG00000183742,0.0013082921504974,0.5595556411734961,0.8098381623067286,5,0,0.09160176166402559
IL27RA,3002,WSX1,ENSG00000104998,0.0013082509762362,0.1539234439266054,0.4401591250765718,57,0,0.35639029021955576
