Gene stable ID,Transcript stable ID,Gene name,Transcript name
ENSG00000304745,ENST00000805968,,
ENSG00000304745,ENST00000805969,,
ENSG00000304745,ENST00000805970,,
ENSG00000304745,ENST00000805971,,
ENSG00000304745,ENST00000805972,,
ENSG00000304745,ENST00000805973,,
ENSG00000304745,ENST00000805974,,
ENSG00000304745,ENST00000805975,,
ENSG00000304745,ENST00000805976,,
ENSG00000304745,ENST00000805977,,
ENSG00000304745,ENST00000805978,,
ENSG00000304745,ENST00000805979,,
ENSG00000304745,ENST00000805980,,
ENSG00000304745,ENST00000805981,,
ENSG00000304745,ENST00000805982,,
ENSG00000304745,ENST00000805983,,
ENSG00000304745,ENST00000805984,,
ENSG00000304745,ENST00000805985,,
ENSG00000304745,ENST00000805986,,
ENSG00000304745,ENST00000805987,,
ENSG00000304745,ENST00000805988,,
ENSG00000304745,ENST00000805989,,
ENSG00000304745,ENST00000805990,,
ENSG00000304745,ENST00000805991,,
ENSG00000304745,ENST00000805992,,
ENSG00000304745,ENST00000805993,,
ENSG00000304745,ENST00000805994,,
ENSG00000304745,ENST00000805995,,
ENSG00000304745,ENST00000805996,,
ENSG00000304745,ENST00000805997,,
ENSG00000304745,ENST00000805998,,
ENSG00000304745,ENST00000805999,,
ENSG00000304745,ENST00000806000,,
ENSG00000304745,ENST00000806001,,
ENSG00000304745,ENST00000806002,,
ENSG00000304745,ENST00000806003,,
ENSG00000304745,ENST00000806004,,
ENSG00000304745,ENST00000806005,,
ENSG00000304745,ENST00000806006,,
ENSG00000304745,ENST00000806007,,
ENSG00000304745,ENST00000806008,,
ENSG00000304745,ENST00000806009,,
ENSG00000304745,ENST00000806010,,
ENSG00000304745,ENST00000806011,,
ENSG00000304745,ENST00000806012,,
ENSG00000304745,ENST00000806013,,
ENSG00000304745,ENST00000806014,,
ENSG00000304745,ENST00000806015,,
ENSG00000304745,ENST00000806016,,
ENSG00000304745,ENST00000806017,,
ENSG00000304745,ENST00000806018,,
ENSG00000304745,ENST00000806019,,
ENSG00000304745,ENST00000806020,,
ENSG00000304745,ENST00000806021,,
ENSG00000304745,ENST00000806022,,
ENSG00000304745,ENST00000806023,,
ENSG00000304745,ENST00000806024,,
ENSG00000304745,ENST00000806025,,
ENSG00000304745,ENST00000806026,,
ENSG00000304745,ENST00000806027,,
ENSG00000304745,ENST00000806028,,
ENSG00000304745,ENST00000806029,,
ENSG00000304745,ENST00000806030,,
ENSG00000304745,ENST00000806031,,
ENSG00000304745,ENST00000806032,,
ENSG00000304745,ENST00000806033,,
ENSG00000304745,ENST00000806034,,
ENSG00000304745,ENST00000806035,,
ENSG00000304745,ENST00000806036,,
ENSG00000304745,ENST00000806037,,
ENSG00000304745,ENST00000806038,,
ENSG00000304745,ENST00000806039,,
ENSG00000304745,ENST00000806040,,
ENSG00000304745,ENST00000806041,,
ENSG00000304745,ENST00000806042,,
ENSG00000304745,ENST00000806043,,
ENSG00000304745,ENST00000806044,,
ENSG00000304745,ENST00000806045,,
ENSG00000304745,ENST00000806046,,
ENSG00000304745,ENST00000806047,,
ENSG00000304745,ENST00000806048,,
ENSG00000304745,ENST00000806049,,
ENSG00000304745,ENST00000806050,,
ENSG00000304745,ENST00000806051,,
ENSG00000304745,ENST00000806052,,
ENSG00000304745,ENST00000806053,,
ENSG00000304745,ENST00000806054,,
ENSG00000304745,ENST00000806055,,
ENSG00000304745,ENST00000806056,,
ENSG00000304745,ENST00000806057,,
ENSG00000304745,ENST00000806058,,
ENSG00000304745,ENST00000806059,,
ENSG00000304745,ENST00000806060,,
ENSG00000304745,ENST00000806061,,
ENSG00000304745,ENST00000806062,,
ENSG00000304745,ENST00000806063,,
ENSG00000304745,ENST00000806064,,
ENSG00000304745,ENST00000806065,,
ENSG00000304745,ENST00000806066,,
ENSG00000304745,ENST00000806067,,
ENSG00000304745,ENST00000806068,,
ENSG00000304745,ENST00000806069,,
ENSG00000304745,ENST00000806070,,
ENSG00000304745,ENST00000806071,,
ENSG00000304745,ENST00000806072,,
ENSG00000304745,ENST00000806073,,
ENSG00000304745,ENST00000806074,,
ENSG00000304745,ENST00000806075,,
ENSG00000304745,ENST00000806076,,
ENSG00000304745,ENST00000806077,,
ENSG00000304745,ENST00000806078,,
ENSG00000304745,ENST00000806079,,
ENSG00000304745,ENST00000806080,,
ENSG00000304745,ENST00000806081,,
ENSG00000304745,ENST00000806082,,
ENSG00000304745,ENST00000806083,,
ENSG00000304745,ENST00000806084,,
ENSG00000304745,ENST00000806085,,
ENSG00000304745,ENST00000806086,,
ENSG00000304745,ENST00000806087,,
ENSG00000304745,ENST00000806088,,
ENSG00000304745,ENST00000806089,,
ENSG00000304745,ENST00000806090,,
ENSG00000303853,ENST00000797498,,
ENSG00000303853,ENST00000797499,,
ENSG00000303853,ENST00000797500,,
ENSG00000303853,ENST00000797501,,
ENSG00000303853,ENST00000797502,,
ENSG00000303853,ENST00000797503,,
ENSG00000303853,ENST00000797504,,
ENSG00000303853,ENST00000797505,,
ENSG00000303853,ENST00000797506,,
ENSG00000303853,ENST00000797507,,
ENSG00000303853,ENST00000797508,,
ENSG00000303853,ENST00000797509,,
ENSG00000303853,ENST00000797510,,
ENSG00000303853,ENST00000797511,,
ENSG00000303853,ENST00000797512,,
ENSG00000303853,ENST00000797513,,
ENSG00000303853,ENST00000797514,,
ENSG00000303853,ENST00000797515,,
ENSG00000303853,ENST00000797516,,
ENSG00000303853,ENST00000797517,,
ENSG00000303853,ENST00000797518,,
ENSG00000303853,ENST00000797519,,
ENSG00000303853,ENST00000797520,,
ENSG00000303853,ENST00000797521,,
ENSG00000303853,ENST00000797522,,
ENSG00000303853,ENST00000797523,,
ENSG00000303853,ENST00000797524,,
ENSG00000303853,ENST00000797525,,
ENSG00000303853,ENST00000797526,,
ENSG00000303853,ENST00000797527,,
ENSG00000303853,ENST00000797528,,
ENSG00000303853,ENST00000797529,,
ENSG00000303853,ENST00000797530,,
ENSG00000303853,ENST00000797531,,
ENSG00000303853,ENST00000797532,,
ENSG00000303221,ENST00000792862,,
ENSG00000303221,ENST00000792863,,
ENSG00000303221,ENST00000792864,,
ENSG00000303221,ENST00000792865,,
ENSG00000303221,ENST00000792866,,
ENSG00000303221,ENST00000792867,,
ENSG00000303221,ENST00000792868,,
ENSG00000303221,ENST00000792869,,
ENSG00000303221,ENST00000792870,,
ENSG00000303221,ENST00000792871,,
ENSG00000303221,ENST00000792872,,
ENSG00000303221,ENST00000792873,,
ENSG00000303221,ENST00000792874,,
ENSG00000303221,ENST00000792875,,
ENSG00000303221,ENST00000792876,,
ENSG00000303221,ENST00000792877,,
ENSG00000303221,ENST00000792878,,
ENSG00000303221,ENST00000792879,,
